,Artista,Álbum,Canción
0,Sidonie,"Marc, Axel y Jes",CEDÉ
1,Sidonie,"Marc, Axel y Jes",No salgo más
2,Sidonie,"Marc, Axel y Jes",Pesado y estúpido
3,Sidonie,"Marc, Axel y Jes",Me gustas todo el rato
4,Sidonie,"Marc, Axel y Jes",Verano equivocado
5,Sidonie,"Marc, Axel y Jes",Stax bien
6,Sidonie,"Marc, Axel y Jes",Es muy pop
7,Sidonie,"Marc, Axel y Jes",De la cama al sofá
8,Sidonie,"Marc, Axel y Jes",Que me bese todo el mundo
9,Sidonie,"Marc, Axel y Jes",Mil colores
10,Sidonie,El Regreso de Abba,Me Llamo Abba (with Kimberley Tell)
11,Sidonie,El Regreso de Abba,Mi Guerra
12,Sidonie,El Regreso de Abba,Mi Vida Es la Música (with Delaporte)
13,Sidonie,El Regreso de Abba,Abba y Mathieu
14,Sidonie,El Regreso de Abba,Cadaqués
15,Sidonie,El Regreso de Abba,Portlligat
16,Sidonie,El Regreso de Abba,Cap de Creus
17,Sidonie,El Regreso de Abba,Verano del Amor
18,Sidonie,El Regreso de Abba,Hugo del Desierto
19,Sidonie,El Regreso de Abba,Gracias a la Vida - with Miri Ros
20,Sidonie,El Regreso de Abba,Ritmo de Huesos
21,Sidonie,El Regreso de Abba,Televisores Rotos
22,Sidonie,El Regreso de Abba,Interior con Chica Al Piano - with Kimberley Tell
23,Sidonie,El Regreso de Abba,Ragaton
24,Sidonie,El Regreso de Abba,Nirvana Internacional
25,Sidonie,El Regreso de Abba,Teoría de la Relatividad Para Hormigas
26,Sidonie,El Regreso de Abba,La Bailarina Rusa con los Ojos de Telescopio - with Clara Segura y Bruna Cusí
27,Sidonie,El Regreso de Abba,Gracias
28,Sidonie,El Regreso de Abba,Buenas Vibraciones
29,Sidonie,El Regreso de Abba,L.S.Domènech
30,Sidonie,El Regreso de Abba,Códecs
31,Sidonie,El Regreso de Abba,Ataque de Ansiedad
32,Sidonie,El Regreso de Abba,"Melodía para ""El Regreso de Abba"" - with Miri Ros"
33,Sidonie,Lo Más Maravilloso,El Incendio
34,Sidonie,Lo Más Maravilloso,Siglo XX
35,Sidonie,Lo Más Maravilloso,Nuestro Baile del Viernes
36,Sidonie,Lo Más Maravilloso,Estáis Aquí
37,Sidonie,Lo Más Maravilloso,Un Dia de Mierda
38,Sidonie,Lo Más Maravilloso,Maravilloso
39,Sidonie,Lo Más Maravilloso,On the Sofa
40,Sidonie,Lo Más Maravilloso,Carreteras Infinitas
41,Sidonie,Lo Más Maravilloso,Por Ti
42,Sidonie,Lo Más Maravilloso,El Peor Grupo del Mundo
43,Sidonie,Lo Más Maravilloso,Sierra y Canada (Historia de Amor Asincronico)
44,Sidonie,Lo Más Maravilloso,Costa Azul
